,Nombre Actividad,Descripción Actividad,Precio Actividad
0,Concierto de Mozart en el Musikverein,¿Os gusta la música? Asistir a un concierto de Mozart en el Musikverein de Viena es una experiencia única que tenéis que vivir al menos una vez.,59 €
1,Free tour por Viena,En este free tour por Viena recorreremos a pie el centro histórico de la capital de Austria para descubrir sus principales monumentos y puntos de interés.,¡Gratis!
2,Visita guiada por el Palacio Schönbrunn,En esta visita guiada por el Palacio Schönbrunn de Viena exploraréis la grandeza de uno de los lugares más emblemáticos de Austria. ¡Incluye entradas sin colas!,54 €
3,Entrada al Museo Belvedere,Con esta entrada al Museo Belvedere visitaréis una de las colecciones de arte más importantes de Austria. Veréis obras tan famosas como El Beso de Klimt.,"14,60 €"
4,Tour de Sissi por el Palacio de Hofburg,Sigue las huellas de la legendaria emperatriz Sissi con este tour por Viena y acércate a los lugares en los que su recuerdo aún sigue intacto.,48 €
5,Traslados en Viena,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",60 €
6,Tour por Viena y Palacio Schönbrunn,Esta visita guiada por Viena es la forma ideal de comenzar a descubrir la ciudad. También visitaremos el asombroso Palacio Schönbrunn. ¡Sin colas!,63 €
7,Excursión a Hallstatt,En esta excursión a Hallstatt desde Viena disfrutaremos de una de las localidades con más encanto de Austria. ¡Sentiréis que estáis en un cuento de hadas!,135 €
8,Excursión a Salzburgo,"En esta excursión a Salzburgo desde Viena conoceremos la ciudad de nacimiento de Mozart, que además fue escenario de la película Sonrisas y Lágrimas.",135 €
9,Tour de los misterios y leyendas de Viena,Descubrid cuáles han sido los episodios más cruentos de la capital de Austria en este tour de los misterios y leyendas de Viena.,21 €
10,Concierto de música clásica en la iglesia de San Pedro,Disfruta escuchando las grandes sinfonías de la música clásica en un espacio privilegiado con este concierto en la iglesia de San Pedro de Viena.,37 €
11,Visita guiada por Viena y la Ópera Estatal,"Descubre los atractivos de Viena con este tour a pie que incluye una visita guiada por la Ópera Estatal, uno de los edificios más icónicos de la ciudad.",28 €
12,"Autobús turístico de Viena, Big Bus",El autobús turístico de Viena es una forma práctica de recorrer la hermosa y distinguida capital de Austria. Podéis subir y bajar en cualquiera de sus paradas.,32 €
13,Excursión a los valles del Danubio y Wachau,"El castillo de Dürnstein, la abadía de Melk y la región vinícola de Krems protagonizan esta excursión a los valles del Danubio y Wachau desde Viena.",110 €
14,Excursión a Bratislava,"En esta excursión a Bratislava viajaréis por vuestra cuenta en autobús desde Viena hasta la capital de Eslovaquia, donde disfrutaréis de un tour en español.",74 €
15,Palacio Schönbrunn con cena y concierto,"En este tour libre, sin guía, visitaréis el Palacio Schönbrunn, cenaréis en un lujoso restaurante y disfrutaréis de un concierto de música clásica.",137 €
16,Seguro de viaje Civitatis,Con nuestro seguro de viajes solo tendrás que preocuparte de desconectar y disfrutar de tus vacaciones. ¡No dejes que nada estropee tu viaje!,"17,57 €"
17,Excursión al campo de concentración de Mauthausen,En esta excursión al campo de concentración de Mauthausen desde Viena repasaremos los fatídicos hechos que tuvieron lugar durante el Tercer Reich.,148 €
18,Concierto en el Palacio Schönbrunn,"¡Viena es sinónimo de música! Por tanto, vivir un concierto de música clásica en el Palacio de Schönbrunn es una experiencia que no deberíais dejar pasar.",55 €
19,Excursión a Budapest,Hermosos puentes sobre el Danubio y bellos edificios históricos nos aguardan en esta excursión a Budapest. ¡La capital de Hungría os enamorará!,135 €
