,Nombre,Precio Total,Dirección,URL
0,Apartment Troststrasse Studio,115 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/53521730
1,In the middle of the vibrating city center!,235 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/33207390
2,Pittoreskes Apartment 1-BR,207 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/924675767469921992
3,"Modern 1BR Apt. Smart TV, Prime Location in Vienna",136 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1208648166489199483
4,(3) 2-room queen apartment with balcony,146 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1042247638046013065
5,Apartment Favoritenstrasse Studio,119 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/54335928
6,JO&JOE - 1 Bed in a 10-12 people mixed shared room,83 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/49167888
7,Cubes,90 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1258456160289526036
8,Cozy & Stylish Apartment with Fitness,218 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1073144779490981974
9,Clean & Cozy Single Room,105 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/859238320102096250
10,Enchanting studio with private garden,186 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1162878491598758071
11,limehome Vienna Favoritenstr | Suite with Balcony,180 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1140416280164466683
12,Extraordinary apartment next to metro line U1,179 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/33440807
13,Beautiful Nostalgic Room near City Center,128 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/20893520
14,Designer Studio | City Center,153 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1110631753443366304
15,Bloom Apartments by Home1,121 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1186746421991380977
16,Numa | Standard Room w/ Single Bed,200 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/48604277
17,Belvedere VIE - Central Apartment 23,158 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1152233965853087034
18,BEAUTIFUL APARTMENT IN THE CENTER - TOP LOCATION!,272 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/7725962
19,Quiet room in quiet district K,111 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/852709899139274631
20,Bright calm apt with balcony,173 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1016498361360898781
21,(15) 2-room apartment with queen size bed & balcony,140 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1042295571222553142
22,Bright studio near Schönbrunn,144 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/840472851742252523
23,Modern Single Beds | Vienna,184 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1128876674832007269
24,Bloom Apartments by Home1,108 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1186749221218534712
25,Single black & white room on perfet location,151 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/30468999
26,Nice Central City Rooms,78 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1166427497917909126
27,Studio time,199 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/727227150801341557
28,Apartment Favoriten Studio top 31 + 30 + 15 +26,136 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/51483051
29,SaZik(free parking)Schönbrunn pala Home,158 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1130283479076638297
30,Self-Check-IN | 7th floor | 1 BR | free Gym,172 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/865144151920467704
31,Apartment Inzersdorferstrasse,119 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/54349843
32,BelVIE - Central Apartment 8,152 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/728689149754075548
33,Standard Double Room by Arbio,157 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/902879710170443018
34,Cozy room TOP connections 10min to the city center,125 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1247745587381682859
35,Parking I Calm Location I 10 min to S-Bahn,118 EUR,"Vienna, Vienna, Austria",https://www.airbnb.com/rooms/1236323332090806333
36,Rooftop nest steps away from city centre with A/C,234 EUR,"Wien, Wi, Austria",https://www.airbnb.com/rooms/862890371093664020
37,Charming flat with balcony near Schönbrunn,172 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/12439548
38,Designer Studio | City Center,182 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1110582519666923400
39,U-Bahn apartment nearby (Top 4),144 EUR,"Wien, Wien, Austria",https://www.airbnb.com/rooms/1929544
