,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada
0,1455.60,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
1,1455.60,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
2,1455.60,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
3,1457.00,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
4,1457.00,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
5,1457.00,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
6,1457.00,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
7,1457.00,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
8,1457.00,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
9,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
10,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
11,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
12,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
13,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
14,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
15,1496.05,LH,MAD,MUC,2024-10-25T18:30:00,2024-10-25T21:00:00
16,1522.60,TP,MAD,LIS,2024-10-25T16:20:00,2024-10-25T16:40:00
17,1522.60,TP,MAD,LIS,2024-10-25T16:20:00,2024-10-25T16:40:00
18,1522.60,TP,MAD,LIS,2024-10-25T16:20:00,2024-10-25T16:40:00
19,1522.60,TP,MAD,LIS,2024-10-25T13:35:00,2024-10-25T13:55:00
20,1522.60,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
21,1522.60,TP,MAD,LIS,2024-10-25T13:35:00,2024-10-25T13:55:00
22,1522.60,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
23,1522.60,TP,MAD,LIS,2024-10-25T16:20:00,2024-10-25T16:40:00
24,1522.60,TP,MAD,LIS,2024-10-25T13:35:00,2024-10-25T13:55:00
25,1522.60,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
26,1522.60,TP,MAD,LIS,2024-10-25T16:20:00,2024-10-25T16:40:00
27,1522.60,TP,MAD,LIS,2024-10-25T13:35:00,2024-10-25T13:55:00
28,1522.60,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
29,1522.60,TP,MAD,LIS,2024-10-25T13:35:00,2024-10-25T13:55:00
